epoch,acc,loss,val_acc,val_loss
0,0.460454276614,1.04804490814,0.485156862773,1.02112519053
1,0.498176816266,0.998155947354,0.495117647049,1.01087176056
2,0.525611390557,0.959798446398,0.495509803926,1.0050851208
3,0.562083204462,0.908485396304,0.498901960798,1.00397451232
4,0.661283933736,0.743880573792,0.499137254907,1.04029083164
5,0.701667996071,0.671128647363,0.496686274482,1.06832869447
6,0.735879821805,0.605493188503,0.494196078445,1.10865879263
7,0.767166956965,0.542119772587,0.492470588245,1.16252667234
8,0.796989033767,0.478784313403,0.492411764734,1.22441592046
9,0.834027879518,0.403706898831,0.49231372549,1.27902096933
10,0.840579946065,0.387432316413,0.492470588245,1.29906135123
11,0.84461156962,0.378772925994,0.491117647073,1.31735732153
12,0.848947057132,0.370201847898,0.492784313711,1.32653783815
13,0.852967828404,0.362016513863,0.490215686284,1.34446030026
14,0.85532006099,0.353883093833,0.49172549021,1.34123736032
