epoch,acc,loss,val_acc,val_loss
0,0.481806144607,1.02219774484,0.497450978812,1.00215828413
1,0.514471519901,0.982649174002,0.506274509009,0.99320022914
2,0.535671457177,0.958324494216,0.505686272958,0.998534167654
3,0.555932671456,0.930143610966,0.499411764117,1.00814934304
4,0.610818099051,0.852211446334,0.499431371661,1.04577035315
5,0.628729794125,0.823595547886,0.495274509276,1.06981814934
6,0.639769280134,0.802273331966,0.493019606099,1.10296538861
7,0.653378044529,0.780472334486,0.481568625941,1.13524034192
8,0.665955842192,0.757079166141,0.482568626446,1.14914201052
9,0.68949715929,0.716629192949,0.48601960666,1.15335838363
10,0.693895047705,0.709529220145,0.483431371829,1.16543155221
11,0.696027521262,0.705432702973,0.483470586931,1.17581027233
12,0.697641798027,0.701593986178,0.482058822309,1.18610597633
13,0.700547498103,0.69672598806,0.482843135581,1.19316047326
14,0.702319133298,0.691681306375,0.481568625997,1.19486721886
